id,screenName,tags,friends
1969527638,LlngoMakeEmCum_,['#nationaldogday'],"['1969535827', '1969887518', '1969517215', '1969776001', '1969942094', '1969712882']"
51878493,_notmichelle,['#nationaldogday'],"['2420931980', '1345516880', '266336410', '170762012', '180463340', '159121042', '11348282', '45266183']"
1393409100,jesseayye,['#narcos'],"['434545375', '26257166', '890891', '43403778', '415859364', '352145373', '19426551', '23561980', '20346956', '1059194370', '25521487']"
232891415,MrBrianLloyd,['#gloryoutnow'],"['4870453512', '74580436', '1339835893', '2916305152', '813286', '1536791610', '145499533', '70740986', '82455213', '349300271', '457554412', '160941691', '2282671736', '15846407', '1924364738', '268414482', '21447363', '21362105', '512700138', '544517731', '79293791', '45266183', '15313351', '20565284', '16409683', '195827821', '26090319', '19877186', '8936082', '28706024', '21959255', '169686021']"
710130422907207680,sarahdorat_16,['#nationaldogday'],"['1061281784', '132774626', '1925157330', '4222679953', '1187647735', '26257166', '372891057', '173677727', '745695548246720513', '719308390405578752', '39689218', '19882775', '23375688', '2200652118', '2678072634', '2893511188', '91408245', '266336410', '1345393938', '70722719', '56783491', '2743113943', '310687757', '6427882', '1209309782', '131948686', '1110475561', '1290082680', '430744802', '189283341', '264498030', '58233603', '492399548', '252709160', '169740780', '281766200', '27260086']"
3649469655,wanderIustregui,['#veranomtv2016'],"['3221758014', '4754523444', '2717254872', '35031708', '894552380', '305694283', '321970500', '3278809183', '24859104', '548765353', '63822383', '344779704', '124949619', '372123733', '3230317663', '1611635503', '2566083968', '46116615', '27711339', '955721514', '26090319', '176566242', '35985504', '2295511306', '16712746', '221412285', '45709328', '34507480', '233183631', '30495613', '20355988', '3053338062', '27776098', '209003577', '739784130', '363972381', '872374136', '114354410', '159225370', '255388236']"
413415713,Jas_Thxku,['#narcos'],"['131102007', '158487331', '834316544', '713993413', '265902729', '95023423', '343627165', '471287735', '108568373', '22910295', '155659213']"
518053777,KLitzau,['#nationaldogday'],"['2432417994', '30602016', '22940219', '1520006918']"
3167964531,ThePettyHomo,['#nationaldogday'],"['39364684', '708657533', '489315957', '3040916878', '1187647735']"
634516322,darkgreyxv,['#getwellsoonjackson'],['573299587']
3157134163,michellemichmic,['#justinssextapeleakedparty'],"['2847258711', '1659312505', '59325073', '257639463', '291547392', '3399224657', '221412285', '25460615', '405728790', '2295511306', '321970500', '216430965', '37972440', '2354128850', '379408088', '954427716', '39538010', '332788870', '84279963', '66339576', '407261533', '321445166', '139399835', '416983726', '158314798', '105119490', '181561712']"
1852404296,FreeFX2,['galaxy note 7'],"['1652541', '5988062', '807095', '4898091', '16421962']"
320733081,RichLantos,['#nationaldogday'],"['1536791610', '362986008']"
