id,screenName,tags,friends
965272975,HRTgeek,['#nationaldogday'],"['20106852', '1378000488']"
735742410,MiaEspinoza23,['#nationaldogday'],"['67418441', '23043294']"
21764166,kleegrubaugh,['#nationaldogday'],"['215990674', '76966092', '15898172']"
716685447053881344,BeeTheDreamer1,['#nationaldogday'],"['1378000488', '15898172']"
300523803,_ThrasherC,['#nationaldogday'],"['543589865', '50004938', '67418441', '23043294', '20106852']"
764447336,Katie_Peddle,['#nationaldogday'],"['50004938', '543589865']"
2873608771,Danked_Fridays,['#nationaldogday'],"['215990674', '76966092']"
